destinationHost
iazncpvapp0001
iazncpvapp0002
iazncpvapp0003
iazncpvctx0001
iazncpvctx0002
iazncpvctx0003
iazncpvctx0004
iazncpvdb0001
iazncpvdb0003
iazncpvdb0004
iazncpvftp0001
iazncpvftp0002
iazncpvhpc0001
iazncpvis0001
iazncpvis0002
iazncpvweb0001
iazncpvweb0002
iazncpvweb0003
